brand	product	size	quantity	category	keywords
BB Royal	Organic Bay Leaf	50 g	1	Foodgrains, Oil & Masala	bay leaf; tej patta; bay leaves; tej patta leaves
bb Popular	Black Pepper Whole	50 g	1	Foodgrains, Oil & Masala	black pepper; pepper; kali mirch; kaali mirch; whole pepper; sabut kali mirch
Britannia	Breakfast Slice Bread	450 g	1	Bakery, Cakes & Dairy	bread; bread slice; sandwich bread; slice bread; breakfast bread
fresho	Orange Carrot	500 g	1	Fruits & Vegetables	carrot; gajar; orange carrot; carrots
fresho	Green Chilli Long Medium	100 g	1	Fruits & Vegetables	green chilli; green chili; hari mirch; chilli; chili
fresho	Coriander Leaves Without Root	250 g	1	Fruits & Vegetables	coriander; coriander leaves; dhaniya; cilantro
fresho	Cucumber	1 kg	1	Fruits & Vegetables	cucumber; kheera; kakdi
BB Royal	Cumin Jeera Whole	200 g	1	Foodgrains, Oil & Masala	cumin; jeera; jira; whole cumin; sabut jeera
Borges	Durum Wheat Macaroni Pasta	350 g	1	Snacks & Branded Foods	pasta; macaroni; durum pasta; macaroni pasta
Disano	Elbow Macaroni Pasta	400 g	1	Gourmet & World Food	macaroni; elbow macaroni; pasta; elbow pasta
Milky Mist	Farm Fresh Curd	1 kg	1	Bakery, Cakes & Dairy	curd; dahi; yogurt; yoghurt; thayir
Safal	Frozen Green Peas	1 kg	1	Snacks & Branded Foods	green peas; peas; matar; frozen peas
fresho	Garlic	250 g	1	Fruits & Vegetables	garlic; lahsun; lasun
fresho	Ginger	250 g	1	Fruits & Vegetables	ginger; adrak; inji; fresh ginger
India Gate	Gold Standard Classic Basmati Rice	5 kg	1	Foodgrains, Oil & Masala	basmati rice; rice; long grain rice; chawal; basmati
Sri Bhagyalakshmi	Gram Flour	500 g	1	Foodgrains, Oil & Masala	gram flour; besan; chickpea flour; chana flour
Tata Sampann	Fine Besan	500 g	1	Foodgrains, Oil & Masala	besan; fine besan; gram flour; chickpea flour
fresho	Green Chilli Small	250 g	1	Fruits & Vegetables	green chilli; green chili; hari mirch; small chilli
fresho	Green Peas	250 g	2	Fruits & Vegetables	green peas; peas; matar; fresh peas
Nutella	Hazelnut Cocoa Spread	350 g	1	Gourmet & World Food	nutella; hazelnut spread; cocoa spread; chocolate spread
iD	Idly Dosa Batter	1 kg	1	Snacks & Branded Foods	idli batter; idly batter; dosa batter; idli dosa batter
24 Mantra Organic	Organic Kabuli Chana	500 g	1	Foodgrains, Oil & Masala	kabuli chana; chole; chickpeas; white chana; garbanzo beans
Dhara	Kachi Ghani Mustard Oil	5 L	1	Foodgrains, Oil & Masala	mustard oil; sarson oil; sarso tel; kachi ghani oil
Let's Try	Kerala Garlic Mixture	173 g	1	Snacks & Branded Foods	garlic mixture; mixture; kerala mixture; namkeen
Britannia	Marie Gold Biscuits	117 g	2	Snacks & Branded Foods	marie biscuit; marie gold; biscuits; tea biscuits
Maggi	Masala Ae Magic Mixed Masala Powder	72 g	1	Foodgrains, Oil & Masala	masala powder; mixed masala; masala ae magic; seasoning powder
fresho	Onion	1 kg	2	Fruits & Vegetables	onion; pyaz; ullipaya; vengayam
Organic Tattva	Maida	500 g	2	Foodgrains, Oil & Masala	maida; refined flour; all purpose flour; white flour
Milky Mist	Paneer	200 g	1	Bakery, Cakes & Dairy	paneer; cottage cheese; fresh paneer
fresho	Potato	1 kg	2	Fruits & Vegetables	potato; aloo; alu
Nandini	Pure Ghee	1 L	2	Foodgrains, Oil & Masala	ghee; desi ghee; tuppa; clarified butter
Amul	Cheese Slices	200 g	2	Bakery, Cakes & Dairy	cheese; cheese slice; cheese slices; processed cheese
Parle	Elaichi Rusk	291.2 g	1	Bakery, Cakes & Dairy	rusk; elaichi rusk; toast; tea rusk
Vijay Gold	Sabudana	500 g	1	Foodgrains, Oil & Masala	sabudana; sago; tapioca pearls
Madhur	Sugar	5 kg	1	Foodgrains, Oil & Masala	sugar; chini; cheeni; sakkare; white sugar
Aashirvaad	Whole Wheat Atta	5 kg	1	Foodgrains, Oil & Masala	atta; wheat flour; whole wheat flour; gehun atta
fresho	Hybrid Tomato	500 g	2	Fruits & Vegetables	tomato; tamatar; thakkali; hybrid tomato
Colgate	Kids Toothbrush	1 pc	1	Beauty & Hygiene	toothbrush; kids toothbrush; children toothbrush; baby toothbrush
Tata Sampann	Kala Chana	1 kg	1	Foodgrains, Oil & Masala	kala chana; black chana; brown chana; kala gram; chickpeas
